filename,directory,size_1x,prompt
grandma_neutral.png,src/assets/png/characters,80x120,"Use the same grandma character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the grandma character: Elderly woman, short curly white hair, reading glasses, floral blouse, loose trousers, comfortable old-lady shoes, slightly hunched posture. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: neutral, calm. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
grandma_impatient.png,src/assets/png/characters,80x120,"Use the same grandma character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the grandma character: Elderly woman, short curly white hair, reading glasses, floral blouse, loose trousers, comfortable old-lady shoes, slightly hunched posture. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: impatient and annoyed — arms crossed, furrowed brow, pursed lips. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
grandma_urgent.png,src/assets/png/characters,80x120,"Use the same grandma character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the grandma character: Elderly woman, short curly white hair, reading glasses, floral blouse, loose trousers, comfortable old-lady shoes, slightly hunched posture. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: urgent and panicked — eyes wide, mouth open, arms raised in distress, sweat drops. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
mother_neutral.png,src/assets/png/characters,80x120,"Use the same mother character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the mother character: Adult woman in her 30s–40s, shoulder-length dark hair, casual everyday clothes (blouse or light sweater, jeans), sneakers, slightly tired but warm-looking face. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: neutral, calm. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
mother_impatient.png,src/assets/png/characters,80x120,"Use the same mother character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the mother character: Adult woman in her 30s–40s, shoulder-length dark hair, casual everyday clothes (blouse or light sweater, jeans), sneakers, slightly tired but warm-looking face. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: impatient and annoyed — arms crossed, eyebrow raised, foot tapping. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
mother_urgent.png,src/assets/png/characters,80x120,"Use the same mother character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the mother character: Adult woman in her 30s–40s, shoulder-length dark hair, casual everyday clothes (blouse or light sweater, jeans), sneakers, slightly tired but warm-looking face. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: urgent and panicked — eyes wide, mouth open, hands on head, sweat drops. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
male_teen_neutral.png,src/assets/png/characters,80x120,"Use the same male teen character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the male teen character: Teenage boy around 15–17, short messy hair, graphic t-shirt, baggy jeans or shorts, sneakers, slightly slouchy posture. Clearly male — different from the existing female teen who has long hair and a green t-shirt. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: neutral, bored. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
male_teen_impatient.png,src/assets/png/characters,80x120,"Use the same male teen character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the male teen character: Teenage boy around 15–17, short messy hair, graphic t-shirt, baggy jeans or shorts, sneakers, slightly slouchy posture. Clearly male — different from the existing female teen who has long hair and a green t-shirt. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: impatient and annoyed — eye-roll, arms crossed, slouching harder. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
male_teen_urgent.png,src/assets/png/characters,80x120,"Use the same male teen character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the male teen character: Teenage boy around 15–17, short messy hair, graphic t-shirt, baggy jeans or shorts, sneakers, slightly slouchy posture. Clearly male — different from the existing female teen who has long hair and a green t-shirt. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: urgent and panicked — jaw dropped, hands gripping hair, eyes wide. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
boy_neutral.png,src/assets/png/characters,80x120,"Use the same boy character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the boy character: Young boy around 7–9 years old, short spiky hair, colorful t-shirt and shorts, sneakers, energetic stance. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: neutral, alert. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
