filename,prompt
saba_neutral.png,"Use the same saba character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the saba character: Older Israeli grandpa, warm and humorous, slightly hunched, big nose, small smile. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: neutral. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
saba_impatient.png,"Use the same saba character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the saba character: Older Israeli grandpa, warm and humorous, slightly hunched, big nose, small smile. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: impatient. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
saba_urgent.png,"Use the same saba character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the saba character: Older Israeli grandpa, warm and humorous, slightly hunched, big nose, small smile. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: urgent. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
parent_neutral.png,"Use the same parent character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the parent character: Adult parent in casual clothes, expressive eyebrows. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: neutral. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
parent_impatient.png,"Use the same parent character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the parent character: Adult parent in casual clothes, expressive eyebrows. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: impatient. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
parent_urgent.png,"Use the same parent character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the parent character: Adult parent in casual clothes, expressive eyebrows. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: urgent. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
teen_neutral.png,"Use the same teen character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the teen character: Teenage girl, no hoodie, casual T-shirt, holding a cellphone, slouchy pose, expressive eyes. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: neutral. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
teen_impatient.png,"Use the same teen character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the teen character: Teenage girl, no hoodie, casual T-shirt, holding a cellphone, slouchy pose, expressive eyes. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: impatient. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
teen_urgent.png,"Use the same teen character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the teen character: Teenage girl, no hoodie, casual T-shirt, holding a cellphone, slouchy pose, expressive eyes. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: urgent. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
dog_neutral.png,"Use the same dog character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the dog character: Small goofy dog, no clothes, no accessories, playful posture, expressive eyes and tongue. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: neutral. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
dog_impatient.png,"Use the same dog character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the dog character: Small goofy dog, no clothes, no accessories, playful posture, expressive eyes and tongue. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: impatient. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
dog_urgent.png,"Use the same dog character design across all moods (same face, hairstyle, clothing, colors, proportions). This is the dog character: Small goofy dog, no clothes, no accessories, playful posture, expressive eyes and tongue. Single character, 2010s Flash game style, thick black outlines, flat bright colors, slight asymmetry, goofy and funny. Expression: urgent. Full body, centered. Transparent background. 2D vector-like, no 3D, no gradients."
